,__name__,container,cpu_architecture,endpoint,instance,job,namespace,block_devices_used,bytes_read,bytes_writes,cache_miss,cgroupfs_cpu_usage_us,cgroupfs_memory_usage_bytes,cgroupfs_system_cpu_usage_us,cgroupfs_user_cpu_usage_us,container_cpu_usage_seconds_total,container_memory_working_set_bytes,cpu_cycles,cpu_instr,cpu_time,energy_in_core_joule,energy_in_dram_joule,energy_in_gpu_joule,energy_in_other_joule,energy_in_pkg_joule,energy_in_uncore_joule,name,pod,service,timestamp,node_energy_stat
117,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,36864,9186220,1419597,5685248,252034,1419597,1,577536,8473638177,8508691909,178520,66.179000,130.693000,0.000000,0.000000,196.872000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666163490,0
118,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,368640,6132713,381672,6090752,112823,381672,0,0,4765801845,3208429776,159734,45.148000,124.111000,0.000000,0.000000,169.259000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666163946,0
119,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,368640,6810294,451082,2088960,162374,451082,0,0,5194291136,3975690659,153122,66.120000,124.665000,0.000000,0.000000,190.785000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666163166,0
120,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,372736,12628117,1650739,15933440,241296,1650739,0,0,9321468038,4875196937,216245,52.373000,134.544000,0.000000,0.000000,186.917000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666163085,0
121,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,372736,6058295,398395,2887680,122493,398395,0,0,4908492452,3756102857,156403,50.946000,121.879000,0.000000,0.000000,172.825000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666163406,0
122,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,372736,7416567,642232,11698176,200894,642232,0,0,5464877005,3431633685,163776,43.519000,130.619000,0.000000,0.000000,174.138000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666163805,0
123,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,376832,6359066,389451,5795840,134795,389451,0,0,4838720003,3657815434,159886,55.388000,123.027000,0.000000,0.000000,178.415000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666163226,0
124,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,376832,7754651,679188,14262272,183457,679188,0,0,6168926853,4088714532,176953,43.130000,129.623000,0.000000,0.000000,172.753000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666163205,0
125,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,376832,9125826,1483003,3518464,210333,1483003,1,122880,8170097725,8444283828,168534,72.110000,127.268000,0.000000,0.000000,199.378000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666163550,0
126,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,380928,6215314,555478,4993024,122432,555478,0,0,4606313660,3325352567,155040,48.149000,123.079000,0.000000,0.000000,171.228000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666163514,0
127,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,380928,6720434,388026,4096000,127221,388026,0,0,5266804580,3764505741,164831,51.131000,124.827000,0.000000,0.000000,175.958000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666163376,0
128,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,380928,6791361,533393,10641408,183464,533393,0,0,5280869533,3376613877,158147,53.801000,124.771000,0.000000,0.000000,178.572000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666163766,0
129,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,385024,4045462,366785,1884160,93580,366785,1,0,3835827784,2332914978,200733,40.430000,120.743000,0.000000,0.000000,161.173000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666163451,0
130,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,385024,6724913,587131,9310208,123965,587131,0,0,5073584530,4029297550,158604,54.029000,120.554000,0.000000,0.000000,174.583000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666163874,0
131,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,385024,7364646,703271,8409088,242013,703271,0,0,5918286240,3677975016,168366,47.527000,127.835000,0.000000,0.000000,175.362000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666163445,0
132,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,389120,6812641,449529,4354048,156258,449529,0,0,4788369574,3220197978,158412,56.066000,125.028000,0.000000,0.000000,181.094000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666163706,0
133,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,393216,7474529,610427,4165632,206446,610427,0,0,5825296015,4178095814,206829,48.201000,127.918000,0.000000,0.000000,176.119000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666163865,0
134,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,393216,7932817,796413,7991296,278439,796413,0,0,6535435200,4190747543,163822,52.599000,129.114000,0.000000,0.000000,181.713000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666163265,0
135,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,393216,8659251,1291993,1400832,111167,1291993,0,0,6605468968,3959715767,159132,61.257000,120.793000,0.000000,0.000000,182.050000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666163364,0
136,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,397312,7535971,679815,5849088,146513,679815,0,0,5310503085,4246326580,171210,53.024000,124.294000,0.000000,0.000000,177.318000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666163064,0
137,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,401408,10944905,1321732,6758400,156034,1321732,0,0,7607446353,4073578150,164110,70.851000,130.225000,0.000000,0.000000,201.076000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666163586,0
138,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,401408,8308359,551596,2678784,166052,551596,0,0,6249747216,3763110595,177365,48.413000,128.163000,0.000000,0.000000,176.576000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666163835,0
139,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,401408,8422152,672346,6111232,236761,672346,0,0,6348924977,4063226214,174055,43.545000,131.682000,0.000000,0.000000,175.227000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666162965,0
140,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,401408,8930499,1155529,8929280,117456,1155529,1,0,7405802114,8067433197,180300,68.285000,130.287000,0.000000,0.000000,198.572000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666163940,0
141,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,401408,9759569,1163219,14278656,147933,1163219,0,0,6686400327,4011519709,155180,56.890000,124.921000,0.000000,0.000000,181.811000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666163634,0
142,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,405504,10225598,1248661,9388032,164145,1248661,0,0,7552857112,4484796892,170591,68.775000,128.385000,0.000000,0.000000,197.160000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666163196,0
