,__name__,avg_cpu_frequency,block_devices_used,command,container,bytes_read,bytes_writes,cache_miss,cgroupfs_cpu_usage_us,cgroupfs_memory_usage_bytes,cgroupfs_system_cpu_usage_us,cgroupfs_user_cpu_usage_us,container_cpu_usage_seconds_total,container_memory_working_set_bytes,cpu_cycles,cpu_instr,cpu_time,endpoint,instance,job,namespace,pod,pod_name,pod_namespace,service,total_bytes_read,total_bytes_writes,total_cache_miss,total_cgroupfs_cpu_usage_us,total_cgroupfs_memory_usage_bytes,total_cgroupfs_system_cpu_usage_us,total_cgroupfs_user_cpu_usage_us,total_container_cpu_usage_seconds_total,total_container_memory_working_set_bytes,total_cpu_cycles,total_cpu_instr,total_cpu_time,timestamp,pod_energy_stat
0,pod_energy_stat,2388783.472222,0,coredns,kepler-exporter,0,0,10352,4388,151552,3090,4388,0,0,11426893,3774073,3720,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,dns-default-xhb96,openshift-dns,kepler-exporter,0,0,14980844605,16031862190,76083200,6283228141,16031862190,0,0,9581417321843,2744483513402,2036171369,1666163739,2641
1,pod_energy_stat,2388783.472222,0,coredns,kepler-exporter,0,0,14307,4008,245760,2953,4008,0,0,13959172,2514138,5850,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,dns-default-xhb96,openshift-dns,kepler-exporter,0,0,14980312527,16031745227,77086720,6283185424,16031745227,0,0,9581061006100,2744381590511,2036126294,1666163709,2639
2,pod_energy_stat,2388783.472222,0,coredns,kepler-exporter,0,0,16657,4874,4096,2604,4874,0,0,13253104,4270478,4778,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,dns-default-xhb96,openshift-dns,kepler-exporter,0,0,14980887503,16031871468,75968512,6283232008,16031871468,0,0,9581445452649,2744490792689,2036180577,1666163745,2671
3,pod_energy_stat,2388783.472222,0,coredns,kepler-exporter,0,0,20535,5835,8192,2093,5835,0,0,11999464,3791782,4998,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,dns-default-xhb96,openshift-dns,kepler-exporter,0,0,14980171951,16031719294,77197312,6283169381,16031719294,0,0,9580970302995,2744358273910,2036109243,1666163694,2885
4,pod_energy_stat,2388783.472222,0,coredns,kepler-exporter,0,0,21126,6467,393216,1896,6467,0,0,14712579,3589448,4703,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,dns-default-xhb96,openshift-dns,kepler-exporter,0,0,14980362058,16031756440,77336576,6283188432,16031756440,0,0,9581100024198,2744390730242,2036134421,1666163715,2838
5,pod_energy_stat,2388783.472222,0,coredns,kepler-exporter,0,0,23926,4020,245760,2290,4020,0,0,12996198,4162778,2113,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,dns-default-xhb96,openshift-dns,kepler-exporter,0,0,14980212877,16031727279,77189120,6283173453,16031727279,0,0,9580997966837,2744366201234,2036112367,1666163700,3690
6,pod_energy_stat,2388783.472222,0,coredns,kepler-exporter,0,0,24926,4464,245760,899,4464,0,0,12219902,3270587,4755,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,dns-default-xhb96,openshift-dns,kepler-exporter,0,0,14980778880,16031843793,76222464,6283215811,16031843793,0,0,9581366134756,2744469237897,2036158039,1666163730,3346
7,pod_energy_stat,2388783.472222,0,coredns,kepler-exporter,0,0,29433,5446,253952,1961,5446,0,0,17405793,4206769,4239,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,dns-default-xhb96,openshift-dns,kepler-exporter,0,0,14980740500,16031835276,76345344,6283210991,16031835276,0,0,9581344363211,2744463264218,2036145331,1666163724,2858
8,pod_energy_stat,2388783.472222,0,coredns,kepler-exporter,0,0,307818,64744,393216,17067,64744,0,0,201395540,61160049,3881,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,dns-default-xhb96,openshift-dns,kepler-exporter,0,0,14980669876,16031821184,76197888,6283205499,16031821184,0,0,9581301419738,2744451890291,2036138302,1666163718,6163
9,pod_energy_stat,2388783.472222,0,cpe-parser,kepler-exporter,0,0,648,0,0,0,0,0,0,590094,17454,0,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,cpe-operator-cpe-parser-67b4ddb7bb-54d85,cpe-operator-system,kepler-exporter,0,0,648,122908314,36077568,23458210,122908314,0,0,590094,17454,0,1666163694,2479
10,pod_energy_stat,2388783.472222,0,flanneld,kepler-exporter,0,0,11020,7962,0,5639,7962,0,0,20824833,10195438,18,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,kube-flannel-ds-bks5r,kube-system,kepler-exporter,0,0,16697067,17874096566,45969408,11304118578,17874096566,0,0,14609961448,6380530148,690702,1666163742,2552
11,pod_energy_stat,2388783.472222,0,flanneld,kepler-exporter,0,0,12806,5490,65536,3981,5490,0,0,15877228,6306849,1514,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,kube-flannel-ds-bks5r,kube-system,kepler-exporter,0,0,16686047,17874088604,45969408,11304112939,17874088604,0,0,14589136615,6370334710,690684,1666163739,2723
12,pod_energy_stat,2388783.472222,0,flanneld,kepler-exporter,0,0,14483,4809,16384,3714,4809,0,0,11781822,5505515,10,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,kube-flannel-ds-bks5r,kube-system,kepler-exporter,0,0,16606576,17874061412,45969408,11304093134,17874061412,0,0,14509555717,6335991329,683106,1666163730,3197
13,pod_energy_stat,2388783.472222,0,flanneld,kepler-exporter,0,0,18260,7830,65536,5945,7830,0,0,20923581,10192773,7,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,kube-flannel-ds-bks5r,kube-system,kepler-exporter,0,0,16673241,17874083114,46034944,11304108958,17874083114,0,0,14573259387,6364027861,689170,1666163736,2638
14,pod_energy_stat,2388783.472222,0,flanneld,kepler-exporter,0,0,18946,4509,61440,3081,4509,0,0,14650636,5901757,2,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,kube-flannel-ds-bks5r,kube-system,kepler-exporter,0,0,16279068,17873965938,45969408,11304032467,17873965938,0,0,14227999517,6210630315,670748,1666163700,3618
15,pod_energy_stat,2388783.472222,0,flanneld,kepler-exporter,0,0,20023,5302,12288,3957,5302,0,0,18621398,6610092,1675,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,kube-flannel-ds-bks5r,kube-system,kepler-exporter,0,0,16241177,17873952617,45998080,11304020574,17873952617,0,0,14191419817,6194596382,668672,1666163694,2874
16,pod_energy_stat,2388783.472222,0,flanneld,kepler-exporter,0,0,20207,8312,12288,5884,8312,0,0,23729882,10442220,5797,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,kube-flannel-ds-bks5r,kube-system,kepler-exporter,0,0,16221154,17873947315,46112768,11304016617,17873947315,0,0,14172798419,6187986290,666997,1666163691,2796
17,pod_energy_stat,2388783.472222,0,flanneld,kepler-exporter,0,0,22542,4455,0,3698,4455,0,0,14072612,5971899,4,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,kube-flannel-ds-bks5r,kube-system,kepler-exporter,0,0,16719609,17874101021,45965312,11304122276,17874101021,0,0,14624034060,6386502047,690706,1666163745,2762
18,pod_energy_stat,2388783.472222,0,flanneld,kepler-exporter,0,0,23398,8596,16384,8596,8596,0,0,22007623,10244303,1107,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,kube-flannel-ds-bks5r,kube-system,kepler-exporter,0,0,16592093,17874056603,45985792,11304089420,17874056603,0,0,14497773895,6330485814,683096,1666163727,2595
19,pod_energy_stat,2388783.472222,0,flanneld,kepler-exporter,0,0,26147,8904,16384,5850,8904,0,0,28592780,10934631,2473,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,kube-flannel-ds-bks5r,kube-system,kepler-exporter,0,0,16553148,17874042754,46112768,11304075571,17874042754,0,0,14462048994,6314178882,681974,1666163721,3301
20,pod_energy_stat,2388783.472222,0,flanneld,kepler-exporter,0,0,26497,7625,135168,4458,7625,0,0,21043136,9987578,6,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,kube-flannel-ds-bks5r,kube-system,kepler-exporter,0,0,16352025,17873986671,45965312,11304043941,17873986671,0,0,14289368018,6237688872,672441,1666163706,3036
21,pod_energy_stat,2388783.472222,0,flanneld,kepler-exporter,0,0,48405,13872,0,9879,13872,0,0,42780089,17843759,6057,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,kube-flannel-ds-bks5r,kube-system,kepler-exporter,0,0,16654981,17874075284,45969408,11304103013,17874075284,0,0,14552335806,6353835088,689163,1666163733,3181
22,pod_energy_stat,2388783.472222,0,flanneld,kepler-exporter,0,0,99202,22758,126976,7087,22758,0,0,73082541,34143741,13,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,kube-flannel-ds-bks5r,kube-system,kepler-exporter,0,0,16482391,17874023091,46100480,11304062203,17874023091,0,0,14407267857,6288848859,675590,1666163715,4079
23,pod_energy_stat,2388783.472222,0,gdbus,kepler-exporter,0,0,3276723,0,0,0,0,0,0,3006018283,1792646385,79427,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,system_processes,system,kepler-exporter,0,0,3947223183562,0,0,0,0,956839,1671602176,3822662022497681,2112021995128914,97364888497,1666163706,62685
24,pod_energy_stat,2388783.472222,0,gdbus,kepler-exporter,0,0,3837785,0,0,0,0,0,0,3689374378,1898064733,72986,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,system_processes,system,kepler-exporter,0,0,3947269465225,0,0,0,0,956846,1671274496,3822708091207746,2112045654753454,97366122305,1666163745,61666
25,pod_energy_stat,2388783.472222,0,hostpath-p,kepler-exporter,0,0,10675,2228,0,1094,2228,0,0,16765462,2189465,3507,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,kubevirt-hostpath-provisioner-hhsml,kubevirt-hostpath-provisioner,kepler-exporter,0,0,4019870325,5272190603,24723456,2707594586,5272190603,0,0,4985696181709,933758385124,1438704968,1666163733,2390
26,pod_energy_stat,2388783.472222,0,hostpath-p,kepler-exporter,0,0,2828,2500,0,1233,2500,0,0,12184260,2067061,3509,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,kubevirt-hostpath-provisioner-hhsml,kubevirt-hostpath-provisioner,kepler-exporter,0,0,4019878305,5272195174,24723456,2707596882,5272195174,0,0,4985728549006,933761828845,1438712974,1666163739,2389
27,pod_energy_stat,2388783.472222,0,hostpath-p,kepler-exporter,0,0,3101,2227,0,2228,2227,0,0,12750357,1540583,3002,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,kubevirt-hostpath-provisioner-hhsml,kubevirt-hostpath-provisioner,kepler-exporter,0,0,4019769434,5272161544,24723456,2707588751,5272161544,0,0,4985573699287,933727218128,1438674050,1666163712,2093
28,pod_energy_stat,2388783.472222,0,hostpath-p,kepler-exporter,0,0,3174,2447,0,2170,2447,0,0,13338581,1479425,3011,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,kubevirt-hostpath-provisioner-hhsml,kubevirt-hostpath-provisioner,kepler-exporter,0,0,4019766333,5272159317,24723456,2707586523,5272159317,0,0,4985560948930,933725677545,1438671048,1666163709,2319
