,__name__,avg_cpu_frequency,block_devices_used,command,container,bytes_read,bytes_writes,cache_miss,cgroupfs_cpu_usage_us,cgroupfs_memory_usage_bytes,cgroupfs_system_cpu_usage_us,cgroupfs_user_cpu_usage_us,container_cpu_usage_seconds_total,container_memory_working_set_bytes,cpu_cycles,cpu_instr,cpu_time,endpoint,instance,job,namespace,pod,pod_name,pod_namespace,service,total_bytes_read,total_bytes_writes,total_cache_miss,total_cgroupfs_cpu_usage_us,total_cgroupfs_memory_usage_bytes,total_cgroupfs_system_cpu_usage_us,total_cgroupfs_user_cpu_usage_us,total_container_cpu_usage_seconds_total,total_container_memory_working_set_bytes,total_cpu_cycles,total_cpu_instr,total_cpu_time,timestamp,pod_energy_stat
0,pod_energy_stat,2489328.027778,0,bash,kepler-exporter,0,0,190836,0,0,0,0,0,0,116129143,105192734,23,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,node-resolver-qg6p4,openshift-dns,kepler-exporter,0,0,190836,5159447551,2347008,2892103392,5159447551,0,0,116129143,105192734,23,1666165099,15250
1,pod_energy_stat,2489328.027778,0,blackbox_e,kepler-exporter,0,0,41776,2085,0,989,2085,0,0,19586485,14186522,2181,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,blackbox-exporter-6f64df459d-248vg,monitoring,kepler-exporter,0,0,53844,4077102347,69578752,1098729523,4077102347,0,0,25662975,16874595,4033,1666165096,15671
2,pod_energy_stat,2489328.027778,0,blackbox_e,kepler-exporter,0,0,44473,1317,0,403,1317,0,0,12298535,11970996,4,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,blackbox-exporter-6f64df459d-248vg,monitoring,kepler-exporter,0,0,45494,4077094969,69537792,1098726544,4077094969,0,0,13416360,12774198,7,1666165087,5610
3,pod_energy_stat,2489328.027778,0,blackbox_e,kepler-exporter,0,0,45191,2108,0,645,2108,0,0,18668135,12536357,2595,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,blackbox-exporter-6f64df459d-248vg,monitoring,kepler-exporter,0,0,51196,4077114263,69873664,1098731788,4077114263,0,0,22807918,14641056,5947,1666165126,16735
4,pod_energy_stat,2489328.027778,0,blackbox_e,kepler-exporter,0,0,46451,1167,0,357,1167,0,0,15694330,13017219,168,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,blackbox-exporter-6f64df459d-248vg,monitoring,kepler-exporter,0,0,46793,4077106963,69582848,1098729997,4077106963,0,0,15873962,13067297,168,1666165117,8129
5,pod_energy_stat,2489328.027778,0,coredns,kepler-exporter,0,0,12543,3867,266240,2431,3867,0,0,7688356,3462466,7092,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,dns-default-xhb96,openshift-dns,kepler-exporter,0,0,14996837576,16034758771,77090816,6284305488,16034758771,0,0,9590931369086,2747743812969,2038317291,1666165105,16897
6,pod_energy_stat,2489328.027778,0,coredns,kepler-exporter,0,0,18882,3164,512000,0,3164,0,0,9832871,4234777,2920,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,dns-default-xhb96,openshift-dns,kepler-exporter,0,0,14997016712,16034783231,77623296,6284316160,16034783231,0,0,9591022549072,2747778526040,2038339834,1666165120,10249
7,pod_energy_stat,2489328.027778,0,coredns,kepler-exporter,0,0,25299,3824,12288,3824,3824,0,0,12636808,5703593,3316,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,dns-default-xhb96,openshift-dns,kepler-exporter,0,0,14997189968,16034810527,77090816,6284332339,16034810527,0,0,9591107524038,2747824162088,2038362968,1666165135,16492
8,pod_energy_stat,2489328.027778,0,coredns,kepler-exporter,0,0,28453,3280,4096,438,3280,0,0,11087935,4478549,8067,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,dns-default-xhb96,openshift-dns,kepler-exporter,0,0,14996890692,16034764852,77094912,6284307701,16034764852,0,0,9590953088309,2747752660262,2038330781,1666165111,16522
9,pod_energy_stat,2489328.027778,0,coredns,kepler-exporter,0,0,30295,3624,512000,1684,3624,0,0,14940767,7611364,2110,http,node1,kepler-exporter,monitoring,kepler-exporter-9qlzt,dns-default-xhb96,openshift-dns,kepler-exporter,0,0,14997068150,16034790025,77099008,6284317914,16034790025,0,0,9591044946195,2747789188567,2038349073,1666165126,16690
