,__name__,container,cpu_architecture,endpoint,instance,job,namespace,block_devices_used,bytes_read,bytes_writes,cache_miss,cgroupfs_cpu_usage_us,cgroupfs_memory_usage_bytes,cgroupfs_system_cpu_usage_us,cgroupfs_user_cpu_usage_us,container_cpu_usage_seconds_total,container_memory_working_set_bytes,cpu_cycles,cpu_instr,cpu_time,energy_in_core_joule,energy_in_dram_joule,energy_in_gpu_joule,energy_in_other_joule,energy_in_pkg_joule,energy_in_uncore_joule,name,pod,service,timestamp,node_energy_stat
69,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,1445888,23409182,865231,1298432,259936,865231,0,0,34704090773,68419412553,242496,156.833000,137.999000,0.000000,0.000000,294.832000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666165336,0
70,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,1478656,16850823,405363,2928640,109954,405363,0,0,13330030725,10973736893,216007,120.787000,135.611000,0.000000,0.000000,256.398000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666165087,0
71,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,1478656,31894486,2134112,9199616,706263,2134112,0,0,23983050827,18798053273,238101,179.678000,153.484000,0.000000,0.000000,333.162000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666165366,0
72,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,1495040,10761832,249589,1417216,82518,249589,0,0,10815087573,7694757289,204704,91.657000,124.621000,0.000000,0.000000,216.278000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666164880,0
73,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,151552,10479158,12127260,1867776,85444,12127260,0,0,43204985476,99421812874,295594,196.219000,155.945000,0.000000,0.000000,352.164000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666165000,0
74,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,151552,108070625,1204847,7757824,92354,1204847,1,159744,273861845803,660421377739,295570,469.749000,160.812000,0.000000,0.000000,630.561000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666164721,0
75,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,151552,14890006,233730,2109440,45268,233730,3,1458176,17609351837,27504733852,188599,159.645000,144.733000,0.000000,0.000000,304.378000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666164502,0
76,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,151552,15494699,11527966,3137536,290104,11527966,0,0,38946856917,80114750892,186556,189.220000,151.728000,0.000000,0.000000,340.948000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666164994,0
77,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,1544192,18853239,538863,1744896,143303,538863,0,0,14514660027,12494089264,226199,153.480000,139.074000,0.000000,0.000000,292.554000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666165036,0
78,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,155648,39685302,559555,4517888,235746,559555,0,0,77689440742,171028975250,246775,232.194000,158.308000,0.000000,0.000000,390.502000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666164319,0
